x1,y1,x2,y2
533,393,537,392
537,392,542,390
542,390,547,387
547,387,552,386
552,386,557,383
557,383,561,383
561,383,564,380
564,380,567,378
567,378,568,375
568,375,569,369
569,369,569,363
569,363,565,355
565,355,563,348
563,348,557,341
557,341,554,337
554,337,545,330
545,330,537,330
537,330,530,326
530,326,524,324
524,324,514,323
514,323,501,319
501,319,487,319
487,319,477,319
477,319,465,318
465,318,456,316
456,316,445,316
445,316,437,315
437,315,424,314
424,314,420,313
420,313,413,313
413,313,405,312
405,312,397,309
397,309,391,305
391,305,387,301
387,301,381,294
381,294,376,285
376,285,372,277
372,277,370,266
370,266,370,255
370,255,368,239
368,239,372,227
372,227,372,221
372,221,373,216
373,216,377,210
377,210,385,208
385,208,390,208
390,208,396,209
396,209,403,207
403,207,411,207
411,207,419,208
419,208,429,208
429,208,440,209
440,209,450,209
450,209,461,211
461,211,471,214
471,214,480,216
480,216,487,219
487,219,493,223
493,223,501,227
501,227,504,230
504,230,507,234
507,234,506,240
506,240,504,243
504,243,504,247
504,247,500,251
500,251,498,255
498,255,494,259
494,259,490,265
490,265,487,270
487,270,479,277
479,277,474,283
474,283,471,289
471,289,466,294
466,294,461,302
461,302,454,306
454,306,451,310
451,310,446,316
446,316,442,321
442,321,437,326
437,326,433,332
433,332,429,336
429,336,426,343
426,343,425,346
425,346,421,350
421,350,420,353
420,353,419,357
419,357,417,361
417,361,416,363
416,363,417,368
417,368,417,372
417,372,417,373
417,373,419,378
419,378,420,382
420,382,422,386
422,386,425,389
425,389,425,391
425,391,429,394
429,394,429,396
429,396,431,397
431,397,435,401
435,401,439,403
439,403,442,403
442,403,446,406
446,406,451,407
451,407,453,408
453,408,457,410
457,410,462,411
462,411,466,412
466,412,470,414
470,414,472,414
472,414,476,414
476,414,478,415
478,415,482,415
482,415,488,415
488,415,491,415
491,415,497,415
497,415,501,415
501,415,504,415
504,415,508,414
508,414,512,414
512,414,515,413
515,413,519,413
519,413,522,412
522,412,525,411
525,411,529,410
529,410,530,410
530,410,531,409
531,409,534,408
534,408,536,408
536,408,538,406
538,406,539,405
539,405,541,404
541,404,542,403
542,403,543,402
543,402,543,402
543,402,544,402
544,402,545,402
545,402,545,401
545,401,546,400
546,400,546,400
546,400,546,400
546,400,546,399
546,399,546,398
546,398,546,396
546,396,546,393
546,393,544,392
544,392,542,390
542,390,541,390
541,390,540,390
540,390,537,392
537,392,535,392
535,392,535,392
535,392,533,393
533,393,530,393
530,393,527,394
527,394,525,394
525,394,523,395
523,395,522,395
522,395,519,397
519,397,518,397
518,397,517,398
517,398,515,399
515,399,511,400
511,400,511,400
511,400,507,400
507,400,505,399
505,399,504,398
504,398,503,398
503,398,501,396
501,396,499,395
499,395,498,394
498,394,497,391
497,391,495,388
495,388,496,384
496,384,496,381
496,381,497,376
497,376,499,373
499,373,499,371
499,371,501,368
501,368,505,366
505,366,505,366
505,366,508,365
508,365,508,365
508,365,509,365
509,365,512,365
512,365,514,365
514,365,515,366
515,366,516,367
516,367,519,368
519,368,522,371
522,371,525,372
525,372,526,374
