x1,y1,x2,y2
593,434,598,435
598,435,605,436
605,436,612,438
612,438,621,438
621,438,629,438
629,438,636,434
636,434,646,429
646,429,656,421
656,421,665,415
665,415,673,407
673,407,680,399
680,399,686,392
686,392,689,385
689,385,693,378
693,378,694,368
694,368,695,360
695,360,694,354
694,354,691,346
691,346,689,342
689,342,686,338
686,338,683,334
683,334,681,330
681,330,676,327
676,327,671,323
671,323,665,321
665,321,659,319
659,319,652,316
652,316,646,315
646,315,640,314
640,314,633,312
633,312,626,311
626,311,618,311
618,311,611,310
611,310,604,310
604,310,595,310
595,310,587,312
587,312,577,313
577,313,571,314
571,314,561,316
561,316,551,316
551,316,538,316
538,316,530,316
530,316,518,315
518,315,510,313
510,313,503,312
503,312,498,310
498,310,491,307
491,307,488,304
488,304,485,301
485,301,483,298
483,298,481,294
481,294,478,290
478,290,474,286
474,286,470,282
470,282,468,280
468,280,465,278
465,278,465,275
465,275,462,270
462,270,461,267
461,267,461,263
461,263,461,259
461,259,461,256
461,256,462,253
462,253,462,250
462,250,464,248
464,248,465,245
465,245,467,242
467,242,470,240
470,240,473,238
473,238,477,237
477,237,480,235
480,235,486,233
486,233,493,231
493,231,499,230
499,230,504,230
504,230,511,229
511,229,519,229
519,229,526,231
526,231,530,229
530,229,535,229
535,229,542,228
542,228,546,229
546,229,551,229
551,229,554,229
554,229,560,231
560,231,565,233
565,233,569,235
569,235,575,237
575,237,578,240
578,240,583,241
583,241,586,244
586,244,588,245
588,245,588,248
588,248,589,250
589,250,591,254
591,254,592,258
592,258,595,263
595,263,595,269
595,269,596,274
596,274,597,278
597,278,597,285
597,285,597,289
597,289,598,292
598,292,598,297
598,297,598,299
598,299,596,302
596,302,596,303
596,303,594,303
594,303,589,305
589,305,585,307
585,307,581,307
581,307,575,310
575,310,570,312
570,312,566,315
566,315,560,318
560,318,554,322
554,322,546,326
546,326,540,330
540,330,534,336
534,336,531,340
531,340,527,344
527,344,525,349
525,349,522,353
522,353,522,357
522,357,521,359
521,359,520,363
520,363,520,366
520,366,520,370
520,370,520,373
520,373,524,381
524,381,528,388
528,388,528,390
528,390,530,393
530,393,533,397
533,397,533,399
533,399,536,403
536,403,538,405
538,405,542,407
542,407,544,410
544,410,548,412
548,412,551,414
551,414,553,415
553,415,555,416
555,416,558,418
558,418,561,420
561,420,563,421
563,421,565,422
565,422,569,425
569,425,571,426
571,426,571,426
571,426,574,428
574,428,576,429
576,429,576,430
576,430,580,431
580,431,582,432
582,432,585,433
585,433,587,434
587,434,590,435
590,435,590,435
590,435,591,435
591,435,592,435
592,435,593,436
593,436,595,437
595,437,596,438
596,438,597,439
597,439,598,440
598,440,600,441
600,441,600,441
600,441,602,442
602,442,603,443
603,443,604,445
604,445,605,444
605,444,606,444
606,444,607,444
607,444,609,444
609,444,609,443
609,443,609,443
609,443,609,442
609,442,609,442
609,442,609,441
609,441,608,439
608,439,607,438
607,438,605,437
605,437,604,437
604,437,602,436
602,436,601,435
601,435,600,435
600,435,599,435
599,435,597,434
597,434,595,433
595,433,594,433
594,433,593,432
593,432,591,431
591,431,590,430
