x1,y1,x2,y2
359,402,362,405
362,405,366,407
366,407,372,409
372,409,381,411
381,411,392,416
392,416,399,418
399,418,409,420
409,420,421,422
421,422,434,421
434,421,447,421
447,421,459,419
459,419,470,417
470,417,480,416
480,416,487,412
487,412,491,407
491,407,494,403
494,403,498,395
498,395,498,392
498,392,500,385
500,385,500,379
500,379,499,371
499,371,495,364
495,364,492,351
492,351,487,337
487,337,481,329
481,329,476,319
476,319,472,313
472,313,467,308
467,308,462,306
462,306,454,304
454,304,449,304
449,304,444,305
444,305,440,306
440,306,435,307
435,307,431,309
431,309,425,311
425,311,419,313
419,313,411,317
411,317,402,321
402,321,395,322
395,322,389,325
389,325,384,328
384,328,379,330
379,330,375,332
375,332,372,335
372,335,371,339
371,339,370,342
370,342,368,345
368,345,366,350
366,350,363,355
363,355,362,362
362,362,359,371
359,371,357,374
357,374,357,378
357,378,357,382
357,382,356,385
356,385,356,386
356,386,356,387
356,387,356,387
356,387,356,389
356,389,356,390
356,390,356,392
356,392,358,395
358,395,360,397
360,397,360,397
360,397,362,399
362,399,363,402
363,402,364,402
364,402,364,402
364,402,366,402
366,402,367,402
367,402,367,402
367,402,369,402
369,402,369,401
369,401,371,401
371,401,372,401
372,401,373,401
373,401,373,401
373,401,374,400
374,400,374,400
374,400,374,400
