x1,y1,x2,y2
465,269,467,270
467,270,471,273
471,273,475,276
475,276,481,279
481,279,491,282
491,282,499,284
499,284,507,284
507,284,516,284
516,284,522,285
522,285,530,283
530,283,535,283
535,283,538,281
538,281,544,277
544,277,550,272
550,272,551,269
551,269,552,268
552,268,556,259
556,259,559,255
559,255,559,252
559,252,560,247
560,247,559,241
559,241,559,236
559,236,560,230
560,230,559,224
559,224,558,216
558,216,558,213
558,213,556,207
556,207,553,201
553,201,548,197
548,197,546,191
546,191,544,188
544,188,540,184
540,184,538,182
538,182,536,181
536,181,535,179
535,179,530,177
530,177,526,176
526,176,524,176
524,176,521,174
521,174,515,173
515,173,512,172
512,172,508,171
508,171,504,172
504,172,501,173
501,173,499,173
499,173,496,172
496,172,492,174
492,174,487,176
487,176,484,177
484,177,480,179
480,179,478,180
478,180,475,183
475,183,472,184
472,184,471,187
471,187,469,187
469,187,466,189
466,189,465,191
465,191,463,193
463,193,463,195
463,195,461,197
461,197,460,198
460,198,458,200
458,200,456,203
456,203,455,206
455,206,455,210
455,210,454,211
454,211,453,216
453,216,453,217
453,217,452,219
452,219,452,221
452,221,451,222
451,222,451,223
451,223,451,224
451,224,451,228
451,228,450,229
450,229,450,230
450,230,450,232
450,232,450,233
450,233,450,235
450,235,450,235
450,235,450,237
450,237,450,238
450,238,450,239
450,239,451,240
451,240,452,242
452,242,453,243
453,243,453,244
453,244,455,247
455,247,455,248
455,248,455,249
455,249,455,250
455,250,456,251
456,251,456,251
456,251,456,252
456,252,456,253
456,253,456,254
456,254,457,255
457,255,458,256
458,256,458,257
458,257,459,259
459,259,459,260
459,260,459,261
459,261,460,262
460,262,460,263
460,263,461,264
461,264,462,266
462,266,462,267
462,267,463,268
463,268,463,268
463,268,463,268
463,268,463,268
463,268,463,269
463,269,466,271
466,271,467,271
467,271,467,271
467,271,468,272
468,272,468,272
468,272,469,272
469,272,469,272
469,272,469,272
469,272,470,271
470,271,470,271
470,271,470,271
470,271,470,271
