x1,y1,x2,y2
384,404,385,267
385,267,388,266
388,266,393,265
393,265,396,265
396,265,405,266
405,266,413,266
413,266,424,266
424,266,438,268
438,268,454,270
454,270,472,277
472,277,494,282
494,282,513,285
513,285,528,289
528,289,533,292
533,292,543,294
543,294,546,296
546,296,550,299
550,299,555,305
555,305,555,307
555,307,556,312
556,312,557,319
557,319,557,333
557,333,557,348
557,348,552,364
552,364,550,372
550,372,548,380
548,380,544,386
544,386,540,393
540,393,534,397
534,397,525,401
525,401,518,405
518,405,510,410
510,410,504,413
504,413,497,415
497,415,495,415
495,415,494,415
494,415,492,416
492,416,492,415
492,415,490,415
490,415,490,415
490,415,489,415
489,415,489,414
489,414,488,414
