x1,y1,x2,y2
379,403,427,485
427,485,428,484
428,484,430,484
430,484,432,484
432,484,438,484
438,484,443,485
443,485,447,486
447,486,455,489
455,489,464,489
464,489,472,491
472,491,480,491
480,491,488,490
488,490,495,489
495,489,502,486
502,486,510,483
510,483,517,480
517,480,522,476
522,476,528,469
528,469,536,463
536,463,539,457
539,457,543,449
543,449,547,439
547,439,549,432
549,432,550,424
550,424,549,416
549,416,547,407
547,407,545,400
545,400,542,393
542,393,538,385
538,385,535,378
535,378,528,371
528,371,524,366
524,366,521,360
521,360,515,357
515,357,511,354
511,354,508,350
508,350,504,345
504,345,499,343
499,343,495,341
495,341,490,339
490,339,485,336
485,336,481,334
481,334,478,332
478,332,470,331
470,331,467,331
467,331,464,331
464,331,460,332
460,332,459,332
459,332,452,332
452,332,450,332
450,332,444,333
444,333,443,333
443,333,440,333
440,333,439,334
439,334,437,335
437,335,433,336
433,336,431,336
431,336,429,336
429,336,427,337
427,337,424,338
424,338,421,340
421,340,418,341
418,341,416,343
416,343,413,345
413,345,410,348
410,348,408,348
408,348,406,350
406,350,403,352
403,352,402,354
402,354,400,357
400,357,398,357
398,357,397,357
397,357,395,358
395,358,395,358
395,358,393,360
393,360,392,361
392,361,392,363
392,363,390,364
390,364,389,364
389,364,388,365
388,365,387,366
387,366,387,366
387,366,386,366
386,366,385,369
385,369,384,370
384,370,383,370
383,370,383,371
383,371,381,372
381,372,380,373
380,373,380,374
380,374,379,375
379,375,379,377
379,377,379,377
379,377,379,378
379,378,378,379
378,379,377,379
377,379,377,381
377,381,377,381
377,381,377,382
377,382,377,382
377,382,377,382
377,382,377,385
377,385,377,386
377,386,376,387
376,387,376,388
376,388,376,388
376,388,376,388
376,388,376,389
376,389,377,389
377,389,377,389
377,389,377,389
377,389,378,390
378,390,378,390
378,390,377,391
377,391,378,392
378,392,378,393
378,393,378,394
378,394,378,394
378,394,378,395
378,395,378,395
378,395,378,396
378,396,378,395
378,395,378,395
378,395,378,394
378,394,378,394
378,394,377,392
377,392,376,392
376,392,376,393
376,393,376,393
376,393,376,393
376,393,376,395
376,395,376,395
376,395,376,397
376,397,376,398
376,398,376,398
376,398,376,398
376,398,377,398
377,398,378,400
378,400,378,400
378,400,380,402
380,402,380,403
380,403,381,403
381,403,382,404
382,404,383,404
383,404,383,404
383,404,384,404
384,404,384,404
384,404,384,404
