x1,y1,x2,y2
374,400,421,442
421,442,422,442
422,442,423,442
423,442,425,443
425,443,427,444
427,444,429,445
429,445,430,446
430,446,436,448
436,448,440,450
440,450,448,453
448,453,458,456
458,456,468,458
468,458,477,461
477,461,486,461
486,461,498,462
498,462,504,461
504,461,511,460
511,460,518,460
518,460,525,458
525,458,531,457
531,457,537,454
537,454,542,451
542,451,548,446
548,446,553,441
553,441,560,436
560,436,562,431
562,431,565,427
565,427,567,421
567,421,569,416
569,416,571,411
571,411,574,407
574,407,574,402
574,402,574,398
574,398,574,392
574,392,572,388
572,388,571,383
571,383,569,378
569,378,567,374
567,374,566,372
566,372,562,366
562,366,560,364
560,364,557,359
557,359,555,358
555,358,552,356
552,356,547,352
547,352,543,349
543,349,539,347
539,347,535,345
535,345,529,342
529,342,523,342
523,342,519,340
519,340,515,339
515,339,509,338
509,338,507,338
507,338,501,336
501,336,497,338
497,338,493,337
493,337,488,337
488,337,483,338
483,338,473,340
473,340,467,341
467,341,460,342
460,342,454,344
454,344,449,346
449,346,443,347
443,347,439,348
439,348,434,350
434,350,429,352
429,352,425,354
425,354,422,355
422,355,418,357
418,357,415,360
415,360,413,361
413,361,410,363
410,363,407,364
407,364,405,366
405,366,403,368
403,368,400,371
400,371,398,372
398,372,396,373
396,373,396,373
396,373,396,376
396,376,393,377
393,377,391,378
391,378,390,379
390,379,389,379
389,379,388,381
388,381,388,381
388,381,386,383
386,383,385,383
385,383,383,385
383,385,381,385
381,385,380,386
380,386,380,386
380,386,377,387
377,387,376,388
376,388,375,389
375,389,374,390
374,390,371,391
371,391,371,391
371,391,370,393
370,393,370,393
370,393,370,394
370,394,370,395
370,395,371,395
371,395,371,396
371,396,371,396
371,396,372,397
372,397,373,398
373,398,374,398
374,398,374,398
374,398,375,399
375,399,375,399
375,399,376,400
376,400,377,400
377,400,378,400
378,400,379,401
379,401,379,402
379,402,379,402
379,402,379,403
379,403,379,403
