X,Y
460,485
464,483
467,481
474,476
482,472
493,467
497,464
506,457
508,452
511,446
512,437
511,424
508,412
505,401
500,392
494,386
487,376
478,370
467,365
458,362
450,360
443,359
435,358
427,358
413,359
403,360
390,362
382,364
372,366
359,368
350,369
342,371
335,371
328,371
323,370
318,370
312,367
307,364
301,361
292,353
283,344
279,337
275,328
270,318
268,313
267,310
269,307
272,301
276,294
281,288
288,283
293,278
301,274
311,270
324,267
337,267
347,266
360,266
369,268
380,269
391,272
404,274
414,279
425,283
436,289
453,294
463,301
475,305
489,311
500,320
514,327
529,331
539,331
548,333
558,336
569,337
579,339
587,341
595,340
602,340
608,339
614,337
615,335
618,331
620,324
621,322
619,315
619,313
615,308
611,301
609,298
604,293
598,288
587,283
576,280
566,278
557,274
549,274
545,273
539,273
535,272
529,273
523,272
518,272
510,274
503,276
500,278
497,280
497,280
497,281
496,281
496,280
497,279
497,277
496,274
496,273
499,268
500,267
503,264
505,262
506,261
511,260
514,258
516,258
516,258
514,259
513,260
511,263
510,263
507,266
505,269
505,271
505,274
504,278
503,281
502,284
501,286
500,288
500,289
499,290
498,292
497,294
497,298
497,300
495,306
495,308
496,313
496,316
498,320
500,323
503,328
506,332
511,335
514,337
519,340
522,342
525,344
528,347
530,352
535,360
539,373
545,383
547,388
549,393
551,399
553,405
553,411
552,415
552,417
550,423
547,427
544,433
542,438
539,443
536,446
534,450
530,455
527,457
523,461
521,465
518,470
515,471
511,475
506,476
502,479
496,480
495,480
491,480
488,481
484,481
482,481
479,481
475,485
474,485
471,486
467,489
465,490
464,490
462,492
459,493
456,493
453,493
452,493
451,492
451,490
451,490
451,489
452,486
453,484
454,483
457,479
459,479
461,477
461,477
464,477
464,476
464,476
466,477
467,478
467,478
467,478
469,481
